GD_NO,GO_TO_LINK,CATEGORY_CD
988064683,http://gd.image-qoo10.jp/ai/854/260/4251260854_00.g_0-w-st_g.jpg,bag
988064700,http://gd.image-qoo10.jp/ai/955/260/4251260955_00.g_0-w-st_g.jpg,bag
988064701,http://gd.image-qoo10.jp/ai/962/260/4251260962_00.g_0-w-st_g.jpg,bag
988064702,http://gd.image-qoo10.jp/ai/970/260/4251260970_00.g_0-w-st_g.jpg,bag
988065158,http://gd.image-qoo10.jp/ai/356/266/4251266356_00.g_0-w-st_g.jpg,bag
988065159,http://gd.image-qoo10.jp/ai/366/266/4251266366_00.g_0-w-st_g.jpg,bag
988065160,http://gd.image-qoo10.jp/ai/370/266/4251266370_00.g_0-w-st_g.jpg,bag
988065261,http://gd.image-qoo10.jp/ai/867/266/4251266867_00.g_0-w-st_g.jpg,bag
988065868,http://gd.image-qoo10.jp/ai/153/281/4251281153_00.g_0-w-st_g.jpg,bag
988065948,http://gd.image-qoo10.jp/ai/551/281/4251281551_00.g_0-w-st_g.jpg,bag
988065974,http://gd.image-qoo10.jp/ai/649/281/4251281649_00.g_0-w-st_g.jpg,bag
988701726,http://gd.image-qoo10.jp/ai/025/887/4260887025_00.g_0-w-st_g.jpg,bag
988701727,http://gd.image-qoo10.jp/ai/032/887/4260887032_00.g_0-w-st_g.jpg,bag
988880634,http://gd.image-qoo10.jp/ai/067/777/4262777067_00.g_0-w-st_g.jpg,bag
988923276,http://gd.image-qoo10.jp/ai/541/451/4261451541_00.g_0-w-st_g.jpg,bag
